round,agent_id,responses,valid_answers,correct,accuracy_percent,failure_count,failure_rate_percent,refusal,truncated,parse_fail,api_error
1,agent_deepseek,300,299,251,83.94648829431438,1,0.33333333333333337,0,0,0,1
1,agent_gemma,300,291,246,84.5360824742268,9,3.0,0,7,0,2
1,agent_llama,300,299,225,75.25083612040135,1,0.33333333333333337,0,1,0,0
1,agent_mistral,300,262,163,62.213740458015266,38,12.666666666666668,0,2,0,36
1,agent_qwen,300,284,241,84.85915492957746,16,5.333333333333334,0,16,0,0
2,agent_deepseek,300,300,257,85.66666666666667,0,0.0,0,0,0,0
2,agent_gemma,300,299,258,86.2876254180602,1,0.33333333333333337,0,1,0,0
2,agent_llama,300,300,254,84.66666666666667,0,0.0,0,0,0,0
2,agent_mistral,300,259,214,82.62548262548263,41,13.666666666666666,0,0,0,41
2,agent_qwen,300,290,248,85.51724137931035,10,3.3333333333333335,0,10,0,0
