question_id,complete_case,round1_state,round1_answer,round1_correct,round1_failures,round2_state,round2_answer,round2_correct,round2_failures
mmlu_pro_v1:test:10059,False,CONSENSUS,A,True,agent_mistral:API_ERROR,CONSENSUS,A,True,agent_mistral:API_ERROR
mmlu_pro_v1:test:10139,True,UNANIMOUS,I,True,,UNANIMOUS,I,True,
mmlu_pro_v1:test:10242,True,UNANIMOUS,G,True,,UNANIMOUS,G,True,
mmlu_pro_v1:test:10284,False,CONSENSUS,C,True,agent_qwen:TRUNCATED,UNANIMOUS,C,True,
mmlu_pro_v1:test:10285,False,CONSENSUS,E,True,agent_qwen:TRUNCATED,UNANIMOUS,E,True,
mmlu_pro_v1:test:1032,True,CONSENSUS,B,False,,CONSENSUS,B,False,
mmlu_pro_v1:test:10356,True,UNANIMOUS,B,True,,UNANIMOUS,B,True,
mmlu_pro_v1:test:1038,True,CONSENSUS,B,True,,UNANIMOUS,B,True,
mmlu_pro_v1:test:10433,True,UNANIMOUS,D,True,,UNANIMOUS,D,True,
mmlu_pro_v1:test:10447,True,UNANIMOUS,H,True,,UNANIMOUS,H,True,
mmlu_pro_v1:test:10457,True,CONSENSUS,A,True,,UNANIMOUS,A,True,
mmlu_pro_v1:test:10468,True,UNANIMOUS,D,True,,UNANIMOUS,D,True,
mmlu_pro_v1:test:1049,True,UNANIMOUS,B,True,,UNANIMOUS,B,True,
mmlu_pro_v1:test:10522,True,UNANIMOUS,F,True,,UNANIMOUS,F,True,
mmlu_pro_v1:test:10539,False,UNANIMOUS,E,True,,CONSENSUS,E,True,agent_mistral:API_ERROR
mmlu_pro_v1:test:10568,True,NO_CONSENSUS,,False,,CONSENSUS,H,False,
mmlu_pro_v1:test:10570,True,CONSENSUS,G,True,,UNANIMOUS,G,True,
mmlu_pro_v1:test:10581,False,CONSENSUS,H,True,agent_gemma:TRUNCATED; agent_qwen:TRUNCATED,UNANIMOUS,H,True,
mmlu_pro_v1:test:10587,True,UNANIMOUS,D,True,,UNANIMOUS,D,True,
mmlu_pro_v1:test:10600,False,CONSENSUS,A,True,agent_mistral:API_ERROR,CONSENSUS,A,True,agent_mistral:API_ERROR
mmlu_pro_v1:test:10614,False,CONSENSUS,E,False,agent_qwen:TRUNCATED,CONSENSUS,E,False,agent_qwen:TRUNCATED
mmlu_pro_v1:test:10618,False,CONSENSUS,D,True,agent_mistral:API_ERROR,CONSENSUS,D,True,agent_mistral:API_ERROR
mmlu_pro_v1:test:10662,True,CONSENSUS,E,True,,UNANIMOUS,E,True,
mmlu_pro_v1:test:10703,True,UNANIMOUS,E,True,,UNANIMOUS,E,True,
mmlu_pro_v1:test:10710,True,UNANIMOUS,J,True,,UNANIMOUS,J,True,
mmlu_pro_v1:test:10733,True,UNANIMOUS,F,True,,UNANIMOUS,F,True,
mmlu_pro_v1:test:10749,False,CONSENSUS,B,True,agent_mistral:API_ERROR,CONSENSUS,B,True,agent_mistral:API_ERROR
mmlu_pro_v1:test:10757,True,UNANIMOUS,I,True,,UNANIMOUS,I,True,
mmlu_pro_v1:test:10764,True,UNANIMOUS,E,True,,UNANIMOUS,E,True,
mmlu_pro_v1:test:10767,False,CONSENSUS,H,True,agent_mistral:API_ERROR,CONSENSUS,H,True,
mmlu_pro_v1:test:10810,True,CONSENSUS,A,True,,UNANIMOUS,A,True,
mmlu_pro_v1:test:10853,True,CONSENSUS,A,True,,UNANIMOUS,A,True,
mmlu_pro_v1:test:10887,False,CONSENSUS,C,True,agent_mistral:API_ERROR,CONSENSUS,C,True,
mmlu_pro_v1:test:10888,True,UNANIMOUS,G,True,,UNANIMOUS,G,True,
mmlu_pro_v1:test:10916,True,UNANIMOUS,B,True,,UNANIMOUS,B,True,
mmlu_pro_v1:test:10942,True,CONSENSUS,F,True,,UNANIMOUS,F,True,
mmlu_pro_v1:test:10947,True,UNANIMOUS,C,True,,UNANIMOUS,C,True,
mmlu_pro_v1:test:11017,True,UNANIMOUS,A,True,,UNANIMOUS,A,True,
mmlu_pro_v1:test:11018,False,CONSENSUS,H,True,agent_mistral:API_ERROR,CONSENSUS,H,True,agent_mistral:API_ERROR
mmlu_pro_v1:test:11023,True,CONSENSUS,B,False,,UNANIMOUS,B,False,
mmlu_pro_v1:test:11048,True,CONSENSUS,F,True,,UNANIMOUS,F,True,
mmlu_pro_v1:test:11072,True,UNANIMOUS,J,True,,UNANIMOUS,J,True,
mmlu_pro_v1:test:11080,True,UNANIMOUS,G,True,,UNANIMOUS,G,True,
mmlu_pro_v1:test:11081,True,NO_CONSENSUS,,False,,UNANIMOUS,E,True,
mmlu_pro_v1:test:11082,True,UNANIMOUS,I,False,,UNANIMOUS,I,False,
mmlu_pro_v1:test:11123,True,CONSENSUS,A,True,,UNANIMOUS,A,True,
mmlu_pro_v1:test:11143,True,UNANIMOUS,D,True,,UNANIMOUS,D,True,
mmlu_pro_v1:test:11183,True,UNANIMOUS,I,True,,UNANIMOUS,I,True,
mmlu_pro_v1:test:11205,True,UNANIMOUS,H,True,,UNANIMOUS,H,True,
mmlu_pro_v1:test:11244,True,UNANIMOUS,G,True,,UNANIMOUS,G,True,
mmlu_pro_v1:test:11259,True,CONSENSUS,A,True,,UNANIMOUS,A,True,
mmlu_pro_v1:test:11293,True,CONSENSUS,F,True,,UNANIMOUS,F,True,
mmlu_pro_v1:test:1133,True,UNANIMOUS,G,False,,UNANIMOUS,G,False,
mmlu_pro_v1:test:11370,False,NO_CONSENSUS,,False,agent_mistral:API_ERROR; agent_qwen:TRUNCATED,CONSENSUS,I,True,agent_mistral:API_ERROR; agent_qwen:TRUNCATED
mmlu_pro_v1:test:11398,False,CONSENSUS,H,True,agent_mistral:API_ERROR,UNANIMOUS,H,True,
mmlu_pro_v1:test:11459,False,CONSENSUS,J,True,agent_mistral:API_ERROR,CONSENSUS,J,True,agent_mistral:API_ERROR
mmlu_pro_v1:test:11508,False,CONSENSUS,A,True,agent_gemma:TRUNCATED,UNANIMOUS,A,True,
mmlu_pro_v1:test:11526,False,CONSENSUS,J,True,agent_gemma:API_ERROR,UNANIMOUS,J,True,
mmlu_pro_v1:test:11547,False,CONSENSUS,D,True,agent_mistral:TRUNCATED,UNANIMOUS,D,True,
mmlu_pro_v1:test:11581,True,UNANIMOUS,H,True,,UNANIMOUS,H,True,
mmlu_pro_v1:test:11600,True,UNANIMOUS,F,True,,UNANIMOUS,F,True,
mmlu_pro_v1:test:11662,True,CONSENSUS,B,True,,UNANIMOUS,B,True,
mmlu_pro_v1:test:11726,True,CONSENSUS,F,True,,UNANIMOUS,F,True,
mmlu_pro_v1:test:11758,False,NO_CONSENSUS,,False,agent_gemma:TRUNCATED; agent_qwen:TRUNCATED,CONSENSUS,D,True,agent_qwen:TRUNCATED
mmlu_pro_v1:test:11813,True,UNANIMOUS,B,True,,UNANIMOUS,B,True,
mmlu_pro_v1:test:11824,False,INSUFFICIENT_ANSWERS,,False,agent_gemma:TRUNCATED; agent_llama:TRUNCATED; agent_mistral:TRUNCATED; agent_qwen:TRUNCATED,CONSENSUS,A,True,agent_gemma:TRUNCATED
mmlu_pro_v1:test:11905,False,NO_CONSENSUS,,False,agent_qwen:TRUNCATED,CONSENSUS,C,True,agent_qwen:TRUNCATED
mmlu_pro_v1:test:11967,True,UNANIMOUS,B,True,,UNANIMOUS,B,True,
